PS:PAN ratio;Feed rate(mL/h);Distance(cm);Mass fraction of solute;Mass fraction of SiO2 in solute ;Applied voltage(kV);Inner diameter(mm);wca;q;sigma
0.7037929938656136;0.7463296376372448;0.6279571589684025;0.7726278920692918;0.4097757112567637;0.6147324213660296;0.9828118994323645;156.5516939375072;-33.23482460942995;0.33316732810198957
0.5314021572056622;0.5119591281234086;0.7447513433422007;0.8768389309467438;0.04683596621129544;0.7324583745614344;0.9086186899749495;134.99571331650384;82.41677854793207;3.343781163675777
0.5503668535228596;0.7652564855962796;0.6579150956856437;0.9835554236710994;0.30778052760320856;0.9934187918747981;0.4232688950638075;177.08479866086998;159.41612840414365;-9.558439831179417
0.44744983543177497;0.8087251465644112;0.768271012429159;0.8544040405744898;0.2466810311347454;0.6666878866856856;0.5305351999718264;151.68906706354457;55.57045060701083;0.004866017196910377
0.8129505369069135;0.7535195899707801;0.944932318399512;0.8926638080516134;0.28969368369577764;0.9602454655411503;0.3967720087685064;152.73776413465865;88.6216814950593;1.377091330468783
0.5006106681528786;0.590363957926538;0.796534604178144;0.939200273482946;0.7758340910897012;0.6308093720402101;0.40725413165343893;156.24944969170716;71.54846999947159;2.037388010234526
0.46924874817691636;0.4156621015039569;0.924955339011256;0.9997137690558884;0.3886617779170697;0.6549496595146764;0.8827877636085908;129.0641493808089;43.373225478054366;2.860542107964207
0.6000229563905244;0.4292830622356353;0.7107316527321391;0.6672836498614824;0.8221895616794561;0.6584385096920474;0.35429273503773906;162.4190056331195;114.80268909458698;3.4640822847958574
0.7309648321006226;0.6848338390503327;0.5969190002756942;0.7254205463599007;0.11993565551916464;0.5854767566202572;0.7216674750758492;140.50833390432;23.501488464621048;4.026782994418186
0.43374506856044653;0.9451224689908861;0.819049714285791;0.7849548193139101;0.3259827332201945;0.9642246035812365;0.9397518005351606;147.30588595958093;127.40795290880305;-9.936463461552973
0.9768753942196227;0.8241580690044576;0.6834698581220804;0.987002863358724;0.09430428219881147;0.6237337089454227;0.4810727904921393;141.32849953242672;60.9096840168757;-0.7593479613532619
0.9701569057247171;0.634463215614328;0.5188288136784238;0.9682097044219122;0.7519963494759198;0.8878089304820387;0.5105966371757928;142.62007241920367;56.05356157306716;-5.122548920148844
0.4866889980448711;0.40640110724006945;0.8616424971088347;0.9654898874936575;0.1429221405011882;0.7797593040741967;0.5887131373997514;138.5907366606976;85.48567220824319;3.0677159320492677
0.5238815593851764;0.7391637895833592;0.7838108241766726;0.845437750057026;0.08487628561091448;0.8064931539222979;0.4943798860095129;151.86894933925257;75.98378067461238;0.30243215813148083
0.4426490212928622;0.4260374968477175;0.6468690897544207;0.8884150514181619;0.8672679918509687;0.6393656503162282;0.38412410434154404;164.06427266879356;130.6990703713502;0.23007218291289533
0.8785296485407774;0.6628053426698925;0.8278414682378704;0.9826743499424149;0.8557710343177974;0.9105924111069319;0.3155816134790238;153.24893712639619;95.69635359123373;0.35634835658824926
0.8667746032689962;0.621822901292346;0.9799655545208128;0.7427399759085302;0.5228642710669331;0.6802893472652455;0.5403429266007187;166.4429613824607;58.74170278808616;-0.2827219633391316
0.5109711062502408;0.7236769369165488;0.5229400376313631;0.9318140175850584;0.6320187240370754;0.7560434958034197;0.7095008672494055;159.24675690520183;77.0407940946537;-9.302058546754564
0.4651022882409562;0.7970795782659106;0.9036561712116349;0.8122923017329813;0.7364924810684783;0.9011240302538928;0.5615594306408641;133.5172356559025;118.46852306630751;-5.7401015381783544
0.5042477057585881;0.5541310460923861;0.91489574279826;0.6984968698802261;0.3129916689630499;0.6090592258245356;0.6119468017467398;152.27197875407904;58.449583719740104;1.6551101293703248
0.8900597963834234;0.9510733966446342;0.5277840871266974;0.7955287754900499;0.9813208813590728;0.6885279301269537;0.8591513062929224;105.2079918904974;-145.34842854199633;-3.373666057374402
0.5430133918191374;0.4735225564320999;0.9469194494773282;0.836902061071683;0.015973125109085027;0.741156979800132;0.6285715740757121;131.14172284963277;74.82190027791768;5.108748644875
0.9578393377475586;0.36100563660267243;0.5719382702078015;0.7189200057354986;0.4341285798191011;0.715772005093408;0.9261339671176226;141.34476056120008;-26.5173804622531;3.49906936942644
0.652806009525761;0.35538544191640553;0.7519462235898141;0.7470896807498048;0.4825211592735335;0.8674734927445091;0.3703652010351304;171.34667472154146;121.22821007295059;0.9999778805710982
0.6717000565172735;0.3807604147359716;0.5680452180407145;0.7120626125346744;0.8394530727987634;0.675312896074202;0.3735075646628355;157.5854152273408;115.84424472367101;2.262660768690786
0.8101009147881435;0.5142654835468363;0.7703577741884597;0.8513315349717357;0.35999928349498433;0.861044051808332;0.6025811675907055;156.99703855821687;72.67338471159601;0.5654947346888477
0.5800532613643847;0.8251405859174801;0.9739848955152559;0.7673194788206008;0.0014938236528977888;0.7845514966157849;0.9918992622122415;139.18099668648358;83.20153644202455;2.1323201169288666
0.5170590758567291;0.6260664845743129;0.8427948946109538;0.739008702049984;0.29727496637267387;0.9687902921188106;0.7517676207288939;153.61723118489294;121.51503326062712;-5.355882277265724
0.9870393273476092;0.7036286125574902;0.5121035520015761;0.917967874294277;0.46121125011311426;0.579453220673236;0.7609055197429178;134.91104047279185;-49.31419648499778;0.9534059841162428
0.5901461341215796;0.3846061334377679;0.7007626854183315;0.7283119838296948;0.5960191249424566;0.6335661764706333;0.8661705750171277;155.68222746486367;27.125897646981542;0.09620141893545942
0.5951656440714;0.8966825495984003;0.9086007641562533;0.9290434451909078;0.49062080424291915;0.6859301956984651;0.5937125515587601;143.46800865644184;26.50802506168091;-0.2573131363891701
0.5569079122873467;0.6727527806111229;0.8024688320171163;0.7912185912970522;0.7895828739928515;0.6739496966702433;0.8286045497814606;141.67366611111467;1.5281454751336128;-3.869658064772647
0.7567528006530784;0.9659810348274215;0.5081305259890067;0.7733495212407113;0.6908173033759664;0.9720529726752395;0.7730061836285292;141.64541046966744;64.0377164484537;-9.726270918235743
