id;x_0;x_1;x_2;y_0;y_1;y_2;time;f1;f2;f3;f_res;area
0;5;4;2;1;3;3;33;-9.9045;-16.191;-27.964;33.79693621;23
1;7;3;6;3;3;3;33;-26.748;-36.345;-64.08;78.37512953;48
2;3;7;1;3;1;2;38;-11.836;-13.453;-23.046;29.19233154;18
3;5;4;3;3;3;2;32;-14.035;-27.749;-33.507;45.71331617;33
4;8;3;5;1;3;1;25;-11.019;-11.696;-22.154;27.36812915;22
5;8;2;8;2;1;2;29;-27.153;-18.576;-50.391;60.17978121;34
6;8;1;8;1;1;3;31;-30.127;-12.312;-69.144;76.42063994;33
7;1;4;2;3;1;1;39;-4.6739;-5.6254;-13.808;15.62534257;9
8;0;5;4;0;3;1;34;-12.204;-9.3287;-28.137;32.05702776;19
9;2;2;6;2;3;0;44;-3.6056;-7.9119;-12.465;15.19785307;10
10;7;6;7;2;3;3;40;-34.984;-36.749;-85.36;99.30105164;53
11;8;8;3;3;2;1;38;-29.417;-25.78;-34.518;52.16762035;43
12;6;6;9;2;3;2;38;-39.336;-33.609;-89.76;103.6037807;48
13;0;5;7;0;1;1;38;-10.969;-4.544;-21.998;24.9975779;12
14;2;5;1;1;1;3;35;-5.3982;-5.9298;-16.782;18.59942513;10
15;6;5;6;1;3;3;34;-26.148;-24.206;-71.638;80.01032048;39
16;5;4;5;2;3;3;33;-19.671;-27.901;-54.381;64.20831101;37
17;4;4;8;1;3;1;21;-15.168;-13.05;-40.091;44.80690801;24
18;9;9;5;2;3;3;41;-42.202;-39.859;-74.396;94.3637298;60
19;6;6;7;3;3;1;24;-21.442;-28.224;-41.961;54.92794426;43
20;7;8;2;3;3;2;39;-32.39;-36.877;-49.434;69.66165075;49
21;0;2;1;0;1;3;54;-1.8434;-2.557;-7.7278;8.345973005;5
22;0;1;7;0;3;1;23;-9.394;-3.626;-26.573;28.41688655;10
23;5;9;5;3;1;1;38;-21.564;-18.267;-29.635;40.95024554;29
24;1;8;1;3;1;1;35;-8.3243;-4.92;-14.687;17.58432084;12
25;3;8;3;2;2;2;32;-20.468;-16.975;-37.879;46.28075507;28
26;6;4;4;3;3;2;30;-17.48;-30.532;-37.27;51.25237872;38
27;8;8;8;1;1;3;32;-34.855;-18.311;-77.234;86.69056755;40
28;3;9;0;1;3;0;36;-28.186;-13.861;-35.169;47.15332945;30
29;7;7;0;3;2;0;38;-22.937;-20.648;-26.136;40.44176516;35
30;5;5;2;2;2;2;35;-12.375;-16.147;-28.065;34.66281089;24
31;2;8;0;3;2;0;35;-17.81;-11.895;-24.181;32.30182481;22
32;3;7;8;1;3;3;39;-40.082;-25.694;-85.399;97.77391043;48
33;8;6;2;3;3;1;35;-25.434;-29.3;-33.363;51.17096955;44
34;4;8;6;3;2;2;28;-26.171;-26.637;-50.861;63.09748276;40
35;8;4;0;2;3;0;32;-15.024;-15.146;-19.739;29.06458348;28
36;5;4;0;3;2;0;39;-10.926;-14.974;-17.996;25.83513437;23
37;6;5;9;3;2;1;31;-24.484;-26.744;-41.91;55.41801054;37
